model,group,MAE,RMSE,WAPE
naive_lag1,ALL,2377.335299682787,4322.422779241841,13.44370685212965
naive_lag1,employment,3584.9451277199623,5692.76554627064,13.754279692583735
naive_lag1,employment_peak,2734.8363292336803,6148.452617326722,25.067081051808692
naive_lag1,residential,1616.8259429887705,2789.7428203845475,13.447770114747637
naive_lag1,tourism_hub,2342.2786685256187,4271.318661517291,11.945186115756611
seasonal_naive_lag7,ALL,1746.4632422505426,4185.493551158908,9.87615834416333
seasonal_naive_lag7,employment,2723.1220435193945,5518.164533418771,10.44774212413878
seasonal_naive_lag7,employment_peak,1442.9668874172185,4541.723520994448,13.226008275273598
seasonal_naive_lag7,residential,1046.176216527498,2480.1118295960055,8.70145442704339
seasonal_naive_lag7,tourism_hub,1930.4430115022656,4601.904060860108,9.844900766129328
rolling28_mean,ALL,2799.408906609001,4385.313960255542,15.830511036753563
rolling28_mean,employment,4259.715873766726,5781.826571841966,16.343157691785724
rolling28_mean,employment_peak,3906.0830855521017,5878.325838734119,35.80254520316019
rolling28_mean,residential,1846.340252354901,2713.429298492492,15.356729878651072
rolling28_mean,tourism_hub,2673.246900363491,4506.99103309432,13.633062618595979
ols_per_station,ALL,854.0639416098495,1760.9005445895384,4.829686946350913
ols_per_station,employment,1291.2490861458168,2134.948808945761,4.954106813606451
ols_per_station,employment_peak,582.3407403662452,1025.101876910649,5.337643932286541
ols_per_station,residential,500.8673464125584,818.9262430538124,4.165908496055431
ols_per_station,tourism_hub,1009.5355663670476,2312.2229628378673,5.148443860576553
