config,epoch,train_loss,sec,val_WAPE
cfg0_h64L1,1,0.20527216811468502,3.0,7.348586654073691
cfg0_h64L1,2,0.10916053100020184,2.8,6.1118269504443
cfg0_h64L1,3,0.08445527726181828,3.8,5.229870467264242
cfg0_h64L1,4,0.06814776941604346,2.9,4.808582164611979
cfg0_h64L1,5,0.059123410731997554,3.1,4.5520100728937205
cfg0_h64L1,6,0.05421489635784236,3.2,4.6489566285508666
cfg0_h64L1,7,0.05095496847533589,4.0,4.393155387874897
cfg0_h64L1,8,0.048638503417928976,3.1,4.177621891807954
cfg0_h64L1,9,0.04684739684008778,3.5,4.315237096606853
cfg0_h64L1,10,0.04545662672604548,3.3,4.109639550329263
cfg0_h64L1,11,0.04443596412317855,4.1,4.033148304988876
cfg0_h64L1,12,0.04335026496414522,3.8,4.077389839555242
cfg0_h64L1,13,0.042712005281098316,3.1,4.180817878957908
cfg0_h64L1,14,0.04195950402000717,3.2,4.155201970826331
cfg0_h64L1,15,0.04109114794470291,4.1,4.1217305925590795
cfg0_h64L1,16,0.04060517045707075,3.2,4.080863371469283
cfg0_h64L1,17,0.04018828775684948,3.0,4.186634794021947
cfg1_h128L1,1,0.20412277749535293,7.7,7.151861340039003
cfg1_h128L1,2,0.10410645795855338,6.9,5.817362940437562
cfg1_h128L1,3,0.07760028284169229,8.1,4.830894223655629
cfg1_h128L1,4,0.06259759136978807,7.2,4.532179601364581
cfg1_h128L1,5,0.054245576964809535,8.4,4.488747386234756
cfg1_h128L1,6,0.050866680226872095,6.7,4.677622258407704
cfg1_h128L1,7,0.04852559014565076,7.3,4.4437121814630025
cfg1_h128L1,8,0.046880836422557075,7.3,4.192597289847065
cfg1_h128L1,9,0.045504489122787435,6.9,4.182725254270495
cfg1_h128L1,10,0.044144038066529986,7.6,4.152921455702447
cfg1_h128L1,11,0.04311579976502095,6.8,4.0664071117599585
cfg1_h128L1,12,0.042355437005070065,8.0,4.226638562872726
cfg1_h128L1,13,0.041323757622894315,6.8,4.093783812927817
cfg1_h128L1,14,0.040407750369246154,8.0,4.273768645088045
cfg1_h128L1,15,0.03964756365761668,7.0,3.9840567757130505
cfg1_h128L1,16,0.039089602021332166,7.7,4.055359513218577
cfg1_h128L1,17,0.03854486890465742,7.2,4.09706826010069
cfg1_h128L1,18,0.03795652564648899,8.8,3.9829460962553314
cfg1_h128L1,19,0.037199763043606476,7.8,4.051867246049983
cfg1_h128L1,20,0.03674979459540709,7.0,4.087138332462211
cfg1_h128L1,21,0.036367051487475884,8.0,3.942957202501834
cfg1_h128L1,22,0.03602465224720424,6.9,4.012515479440884
cfg1_h128L1,23,0.03555612887852345,7.7,3.9962486187238424
cfg1_h128L1,24,0.035215949914898924,7.3,3.917410519947277
