config,epoch,train_loss,sec,val_WAPE
cfg1_h128L1,25,0.03477054673134165,7.6,4.030587020644989
cfg1_h128L1,26,0.03448674494382875,7.9,4.100067611045269
cfg1_h128L1,27,0.034139607230505666,7.1,4.070058757024142
cfg1_h128L1,28,0.03368527483982055,9.1,4.059248647414243
cfg1_h128L1,29,0.03346014855461169,7.7,4.0372611633726
cfg1_h128L1,30,0.03300001604025047,7.6,3.968311919184211
cfg2_h64L2,1,0.2301331207597746,11.5,7.770615424427707
cfg2_h64L2,2,0.11528812987187725,10.2,5.936076481757527
cfg2_h64L2,3,0.08530575223033293,10.8,4.94504978202642
cfg2_h64L2,4,0.07055231354087678,9.6,4.8182020148455615
cfg2_h64L2,5,0.061710071064960986,10.7,4.666799280583951
cfg2_h64L2,6,0.05680428043843065,14.2,4.748522359805799
cfg2_h64L2,7,0.05366742842819663,13.8,4.7090735962868955
cfg2_h64L2,8,0.05212341980581134,11.5,4.33663631937894
cfg2_h64L2,9,0.05020723859711461,11.3,4.367622984420236
cfg2_h64L2,10,0.0490284583388032,11.7,4.21802708769968
cfg2_h64L2,11,0.04757646419375008,11.6,4.1785749050022645
cfg2_h64L2,12,0.04664419685479775,9.5,4.313149478298806
cfg2_h64L2,13,0.04559435615125688,8.6,4.193032765523909
cfg2_h64L2,14,0.044592880408950014,9.2,4.385642100136353
cfg2_h64L2,15,0.04392607545429301,9.1,4.087705038997811
cfg2_h64L2,16,0.04330081428480581,9.3,4.152274625640201
cfg2_h64L2,17,0.04274510790289545,8.9,4.177575632925625
cfg2_h64L2,18,0.042392663719740806,8.4,4.07453914602938
cfg2_h64L2,19,0.04137363696831621,8.7,4.157980660786916
cfg2_h64L2,20,0.040818692411901114,9.0,4.085055444089088
cfg2_h64L2,21,0.0405461277370932,8.2,3.977007262535459
cfg2_h64L2,22,0.039923602286550564,9.7,4.134218907146732
cfg2_h64L2,23,0.039425215860585734,8.4,4.1243254604869595
cfg2_h64L2,24,0.03917859353911771,9.0,4.017993064707668
cfg2_h64L2,25,0.038946887908642196,9.2,3.9931972716036337
cfg2_h64L2,26,0.03853532524185023,8.3,4.098819740591739
cfg2_h64L2,27,0.03800299830368422,9.0,4.069241422500437
final,1,0.17157864127423852,12.4,
final,2,0.08019347150669337,10.0,
final,3,0.06101527745434997,11.0,
final,4,0.054323243501062705,11.3,
final,5,0.05102684150439643,9.9,
final,6,0.04878637470597849,11.4,
final,7,0.046976654025568707,11.6,
final,8,0.045776070050077534,10.3,
final,9,0.04458865208318963,10.9,
final,10,0.043384996979455075,11.2,
final,11,0.042582403171754886,10.3,
final,12,0.04190438475471656,11.8,
final,13,0.04107118710555192,11.5,
final,14,0.040462122599251964,11.7,
final,15,0.039583465851287844,10.5,
final,16,0.03916290002617585,11.5,
final,17,0.038443766467614895,11.1,
final,18,0.038141825717943015,10.3,
final,19,0.03738498081318985,11.4,
final,20,0.03695639961985696,12.3,
final,21,0.03654732104429903,10.7,
final,22,0.0360845226546621,14.5,
final,23,0.03582976537135242,14.9,
final,24,0.035531946958127655,12.5,
