model,group,MAE,RMSE,WAPE
LSTM,ALL,704.7134087937418,1556.9163124013514,3.985117490095823
LSTM,employment,1035.8277392139273,1870.9356408180383,3.9741373803247644
LSTM,employment_peak,392.5152709441244,678.6142885440996,3.597733438617158
LSTM,residential,395.05806545232304,687.8687499148173,3.2858515594814794
LSTM,tourism_hub,893.090553711831,2086.6384234045645,4.554595926464701
