feature,group,mean_abs_shap,share_pct
dow,ALL,311.631104991674,2.1597575658860335
month,ALL,172.75768848728367,1.1972961581783117
is_weekend,ALL,0.0,0.0
is_holiday,ALL,317.57551459754194,2.2009552621857718
is_offday,ALL,1214.7261940479407,8.418652843223335
is_makeup_workday,ALL,0.8477744014846215,0.005875495572946206
is_lny,ALL,16.265516579593235,0.1127280683253996
is_typhoon,ALL,78.39167823947791,0.5432930714176925
is_nye,ALL,10.738364884625822,0.07442217555733135
lag1,ALL,1791.8104278551268,12.418131778908894
lag7,ALL,4568.330036731111,31.66078482620676
lag14,ALL,2298.984191477592,15.933096606414734
roll7_mean,ALL,581.2472754489507,4.02833087164086
roll28_mean,ALL,150.29586348080386,1.041624610234954
pagerank,ALL,1809.2029502268779,12.53867055434094
out_strength_train,ALL,876.20011449726,6.072499812129554
in_strength_train,ALL,160.5698403973894,1.1128283476729321
deg_out,ALL,0.0,0.0
deg_in,ALL,0.0,0.0
is_yline,ALL,2.695354378091861,0.01868013788605432
service_suspended,ALL,1.9200058833249602,0.013306589639591884
cl_employment,ALL,14.9294087450581,0.10346818072671474
cl_employment_peak,ALL,26.905549791299322,0.1864687567938208
cl_residential,ALL,5.745785386738534,0.03982113230095406
cl_tourism_hub,ALL,17.214812003632847,0.11930715475640694
dow,employment,422.02083596907073,2.4295563515957834
month,employment,225.09897391151884,1.295885404682969
is_weekend,employment,0.0,0.0
is_holiday,employment,384.320671117666,2.2125180748940823
is_offday,employment,1521.824886052279,8.761082398774779
is_makeup_workday,employment,1.1090424815552715,0.006384711311859573
is_lny,employment,22.044641934199703,0.12691008420687286
is_typhoon,employment,98.6728723556664,0.5680556108359514
is_nye,employment,14.248834609184197,0.08202994657381896
lag1,employment,2229.599350042684,12.8357104690609
lag7,employment,5865.5485507871335,33.76771837446134
lag14,employment,3330.123706342249,19.171383289085895
roll7_mean,employment,743.3339513315591,4.27934255584181
roll28_mean,employment,181.87031153170895,1.0470197982853882
pagerank,employment,957.774823080702,5.513869710889789
out_strength_train,employment,1075.7762322374597,6.193198901960973
in_strength_train,employment,221.96200859512095,1.2778260261888021
deg_out,employment,0.0,0.0
deg_in,employment,0.0,0.0
is_yline,employment,2.171723162517317,0.01250251967129965
service_suspended,employment,1.2620031711883255,0.007265299622598083
cl_employment,employment,30.395780756222337,0.17498724210717664
cl_employment_peak,employment,17.03703200512608,0.09808148269586456
cl_residential,employment,5.320344130357449,0.030628999264701272
cl_tourism_hub,employment,18.76733206705431,0.1080427479873546
dow,employment_peak,228.07412578304758,1.5267114283704677
month,employment_peak,126.525386350204,0.8469516331878587
is_weekend,employment_peak,0.0,0.0
is_holiday,employment_peak,330.30348103664284,2.2110272158135045
is_offday,employment_peak,1319.9830070461444,8.835869194689483
is_makeup_workday,employment_peak,0.7601340113768781,0.005088281181733354
is_lny,employment_peak,12.902794310820305,0.08637035641202488
is_typhoon,employment_peak,63.19886111234997,0.4230485294592514
is_nye,employment_peak,8.448802312977827,0.05655566146743002
lag1,employment_peak,1725.3827086092417,11.549584989102325
lag7,employment_peak,5053.358326819592,33.82680908112016
lag14,employment_peak,2428.704603242329,16.25757003858099
roll7_mean,employment_peak,716.6817207245722,4.797414743026252
roll28_mean,employment_peak,157.75529163626024,1.0560023229294182
pagerank,employment_peak,1468.9314380944245,9.83291904038558
out_strength_train,employment_peak,920.1020325630813,6.159095353574579
in_strength_train,employment_peak,139.56903791007633,0.9342648776682175
deg_out,employment_peak,0.0,0.0
deg_in,employment_peak,0.0,0.0
is_yline,employment_peak,5.7445197755185,0.038453392999637334
service_suspended,employment_peak,4.55799437488664,0.03051087920953887
