comparison,point,lo95,hi95,p_improve
k4-k3,-0.06985807894394302,-0.18464586659809384,0.012140626888972706,0.9365
k4-no_cluster,-0.09023519563449557,-0.18421405610477629,-0.01843822640433072,0.995
k3-no_cluster,-0.020377116690552536,-0.06173014619796813,0.025895665568104995,0.822
